term	response	NKG7	Signature.21	Signature.8	CXCR6	T_inflam_GEP	CD399	TIGIT	Signature.10	Signature.6	Is_Male	CD274	IDO1	Signature.15	CD27	Signature.20	FIGIT	DDR	LAG3	CXCR9	HLA.E	STAT1	CCL5	Signature.7	CD8A	PSMB10	Signature.4	Signature.9	SERPINB3_SERPINB4	Indel_TMB	NMD_escape_TMB	CXCL9	TMB	Signature.1A	Clonal_TMB
Signature.6	-0.08990251819707519	0.04117480724036638	-0.02657595467122872	0.023524007418355558	-0.0535002533990571	-0.028429371911425715	0.006485618405023122	-0.02055960763940379	-0.023814461621439475	NA	0.020551832862826466	-0.06370850850042557	-0.00833762478790679	0.13112171719598342	-0.014217499740915898	0.01587017655332584	-0.012451362400152743	0.008728745031070358	-0.0027864232733150578	0.0391652133622737	0.014937063273592044	0.033604517317610355	0.011151728353624078	-0.15791686351993633	-0.003633215042632116	0.021843283775491686	-0.026204205319180888	0.021524434217385938	-0.03923209507725795	0.035412572964183146	0.031075178652368824	0.013921657893715482	-0.04180172553081126	0.02443284243553083	-0.04106037529876199
Signature.10	0.08203107936631462	-0.0013002629780614835	-0.04234559312882336	-0.023823360057421687	0.10630566053563013	-0.022124917166879494	0.04133282000920392	0.018679630109620114	NA	-0.023814461621439475	0.07837514963670715	0.010606739964038806	-0.029392562055766635	-0.020100848283089976	0.00848476690144957	-0.022074220100790867	-0.07626768228188655	0.015465919141437731	0.02754059715802536	-5.779217027748105e-4	0.09738585346562603	0.06473389891627279	0.12194118484786493	-0.20099832887259822	0.024157983234867487	0.03530727905018091	-0.08569764228293707	-0.03079032554593692	0.048933237723093465	-0.09408766138814642	-0.10195545536921374	-0.030042553746522645	0.005282664833870055	-0.11907685162260119	0.006274415190018744
TIGIT	0.08140102872132075	0.6850076940669846	-2.7629066947904306e-4	-0.024760148094044337	0.6316280273982048	0.3134092914794807	-0.01621115657325737	NA	0.018679630109620114	-0.02055960763940379	0.02419470420039888	0.4000828228525264	0.4277510862298056	-0.013012485978917018	0.800423918492398	-0.016965281049187424	0.03839551224784068	0.0842112377171422	0.6403361787449089	0.00351367173317736	0.6343151452270201	0.5670597939866154	0.6134210573530837	0.03944857356727918	0.5528118466100754	0.6149484796988628	0.0463100103719884	-0.010504334447431398	-0.009013871126463197	-0.06327284274255182	-0.04746172342228548	0.5088039281426315	0.015128289295966076	-0.1495845988524989	0.027842130915717286
CD399	-0.0767014819768274	0.010671714118261287	-0.007211920699298389	-0.016365048912497595	0.005042687532789977	-0.028103337818995867	NA	-0.01621115657325737	0.04133282000920392	0.006485618405023122	0.024383309868187233	-0.016406917626208974	0.002863008013554062	-0.0643108024293063	0.00453323152040845	0.08670929509684878	-0.02373510965385992	-0.07408847858144639	0.0016261431657177627	-0.034046125651752794	-0.03253821582612024	-0.02306357562255607	-0.05679646948530798	-0.02152540897705415	-0.035061393455940844	-0.015035325189457134	0.01711995323281695	0.07267592512495723	-0.030883988983481575	-0.0492775400018345	-0.06677021992825911	-0.03969243133161172	-0.054425835455110386	0.048561495844490606	-0.053066723256693885
T_inflam_GEP	0.07668071386907038	0.3248391915240141	-0.07391188808393519	-0.10418806725709463	0.296103028461314	NA	-0.028103337818995867	0.3134092914794807	-0.022124917166879494	-0.028429371911425715	0.0618588173340217	0.3300079557114496	0.30396200579232624	-0.03443296841544709	0.29303895734431135	-0.029992810896140202	-0.011252859961374546	0.05312243905527807	0.31821730542842297	-0.04500684380553131	0.2875021138322988	0.32726910862114855	0.26847374755114234	0.007221152707424746	0.4565799971166011	0.32626038866211227	-0.00996652559666082	-0.031835714139263775	0.0246213085567765	-0.06555150608107647	-0.06356491806726591	0.4522702063855199	0.06188132391592264	-0.032385453515933436	0.06919700248028253
CXCR6	0.06918950790936225	0.6454228960140743	0.02652379313585392	-0.05410517896424387	NA	0.296103028461314	0.005042687532789977	0.6316280273982048	0.10630566053563013	-0.0535002533990571	0.039252470723067215	0.3660421722786916	0.3536334386325191	0.005011458126817283	0.5627005743337572	-0.016194737942861345	0.0421359919071422	0.08380446308086402	0.6066559355994757	0.005755003439283064	0.48265469487395907	0.5026182874358965	0.5651125342883153	0.03639204486910134	0.45443574267904346	0.5145393673602592	0.019052985431348566	0.001921950431648569	-0.021600677937937178	-0.040559100968901224	-0.04336171483388214	0.4233203150003353	0.06514878528346699	-0.15850656569240107	0.08050900919524286
Signature.8	0.06720309256458303	-0.04154579597141967	0.011792250616894373	NA	-0.05410517896424387	-0.10418806725709463	-0.016365048912497595	-0.024760148094044337	-0.023823360057421687	0.023524007418355558	-0.07701510115759509	-0.03925032547792694	0.02109980838124526	0.028729076385161943	-0.03386247133226532	-0.005874431455441007	-0.008631076179518533	-0.023453946290699083	-0.04783768525997311	-0.04835617089662859	0.032031405394385135	-0.012680334023137417	-0.03448978736180384	-0.07440838762329358	-0.03244718637382868	-0.04162430339241146	0.06297830117872132	-0.008193977231559828	-0.013055553250420791	0.024771667479466408	0.03485502461042611	0.012462776668505088	0.011937799941747729	-0.04384577695437955	0.01073492961981306
Signature.21	-0.06466909104418739	0.0481704638510514	NA	0.011792250616894373	0.02652379313585392	-0.07391188808393519	-0.007211920699298389	-2.7629066947904306e-4	-0.04234559312882336	-0.02657595467122872	-0.08866506751105926	-0.005474804301869874	0.0021071090762165537	-0.009718026818674839	-0.0013628495232044647	-0.0126667842352305	5.555715871653725e-4	-0.047295045019696676	-0.01643276186532323	0.01331302361005839	-0.030706960516072662	-0.010621203618019518	0.027972311774010637	-0.08048608081327704	-0.004130512532132625	-0.01569372594374918	0.03944732967557967	0.03608235541496059	-0.055471624828704304	-0.021168670731737744	0.006029272793512926	0.009708809027098461	-0.09812250333953845	-0.0731653664742036	-0.09197175745029212
NKG7	0.06365383320096725	NA	0.0481704638510514	-0.04154579597141967	0.6454228960140743	0.3248391915240141	0.010671714118261287	0.6850076940669846	-0.0013002629780614835	0.04117480724036638	0.011252260093203006	0.4212547859956327	0.3874541381103778	0.07582440364341889	0.6492587565234114	-0.01275274151020623	0.10066331698900559	0.0426284446534343	0.7504676571893719	-4.0519248308663327e-4	0.5212288285277724	0.5451138747438031	0.6743889905872504	-0.005501439940491801	0.5983816252027283	0.5266655710747421	0.09626051537477867	0.003368351694976002	-0.03973231220886901	0.028787098421774522	0.03966962059399668	0.4595503097335236	0.0514720207132328	-0.19623390267690885	0.07066873716660399
response	NA	0.06365383320096725	-0.06466909104418739	0.06720309256458303	0.06918950790936225	0.07668071386907038	-0.0767014819768274	0.08140102872132075	0.08203107936631462	-0.08990251819707519	0.09121787013263885	0.09394631374069876	0.09500270045185756	-0.09575009244006122	0.09800821524185854	0.09870533441153433	-0.09941172771993213	0.10738091627338568	0.10827212922033007	-0.11489602480776524	0.11710542995863825	0.11770368541136117	0.1180395784102905	0.1215375990473012	0.12181550791848257	0.12933910156261538	0.1356248994179268	0.1376795812388781	0.13859278413551154	0.15046290049664168	0.1620744898284819	0.17053242126348098	0.22685772357650266	-0.22849393821467792	0.2357970909042951
